# resource: Rollet 1888, pp. 16-23. s. https://archive.org/details/BIUSante_57377/page/n17/mode/2up
# description: Data as given without calculated columns and statuar in centimeters as the measures. 
# Further explanation mentions a general shrinking of the measures by app. 2 mm within eight to ten months 
# after the first measures in fresh condition. This differentiation is shown in the tables only for 
# the femora. (Rollet 1888 p.24) This differentiation is ignored here giving only the "fresh" measures.
Nr,Sex,Age,Stature,Femur.right,Femur.left,Tibia.right,Tibia.left,Fibula.right,Fibula.left,Humerus.right,Humerus.left,Radius.right,Radius.left,Ulna.right,Ulna.left
1,m,52,152, ,396,314,312,310,310,290,285,224,220,237,234
2,m,71,154,406,415,350,350,345,344,305,301,236,230,254,247
3,m,51,157,414, ,352,350,339,342,305,300,218,218,235,234
4,m,81,158,435,430,345,345,338,338,305, ,228, ,247, 
5,m,67,169,441,440,347,343,345,343,325,320,234,231,257,254
6,m,85,160,440,442,362,362,352,352,321,320,240,234,255,255
7,m,79,160,423,420,342,342,336,336,310,305,225,222,237,235
8,m,50,160,428,435,338,334,336,334,314,310,244,243,225,220
9,m,50,161,440,432,360, ,352,352,330,328,249, ,264, 
10,m,67,161,421,418,348,342,338,337,304,300,221,219,238,234
11,m,57,162,440,442,377,377,368,368,328,324,232,228,255,249
12,m,82,162,433,438,355,352,347,347,316,314,243,237,262,260
13,m,79,163,436,442,368,368,358,358,318,315,236,236,254,252
14,m,82,163,449,448, ,360, ,358, ,330,248,244,269,263
15,m,71,163,474,473,356,355,355,355,320,312,234,228,251,243
16,m,42,163,445,438,360,355,352,352,325,317,238,233,255,250
17,m,65,164,430,430,352,348,344,343,315,313,231,227,247,245
18,m,35,164,414,420,357,357,368,365,326,324,245,244,260,258
19,m,45,164,432,460,360,360,355,351,320,317,237,235,256,254
20,m,64,165,440,444,360,361,350,352,327,325,240,234,260,255
21,m,84,166,458,454,378,378,373,370,333,328,241,240,262,261
22,m,24,166,467,474,391,390,375,375,340,335,249,246,260,263
23,m,92,166,464,469,368,365,375,374,339,335,260,254,275,271
24,m,39,166,430,434,355,350,358,353,323,316,235,234,254,252
25,m,80,166,454,453,380,380,375,375,340,338,253,250,264,260
26,m,51,167,464,465,374, ,365, ,336,334,250,248,269,265
