# resource: Trotter & Gleser 1952, Appendix 1-4
# description: Data as given but with additional columns related to appendix heading, and stature in millimeters. 
Appendix_row,Sex,Race,stature,Hum,Rad,Ulna,Fem,Tib,Fib,Fem+Tib
1_1,m,White,1520,265,193,211,381,291,299,685
1_2,m,White,1530,268,196,213,385,295,303,693
1_3,m,White,1540,271,198,216,389,299,307,701
1_4,m,White,1550,275,201,219,393,303,311,708
1_5,m,White,1560,278,204,222,398,307,314,716
1_6,m,White,1570,281,206,224,402,311,318,723
1_7,m,White,1580,284,209,227,406,315,322,731
1_8,m,White,1590,288,212,230,410,319,326,738
1_9,m,White,1600,291,214,232,414,323,329,746
1_10,m,White,1610,291,217,235,419,327,333,753
1_11,m,White,1620,297,220,238,423,331,337,761
1_12,m,White,1630,301,222,240,427,335,340,769
1_13,m,White,1640,304,225,243,431,339,344,776
1_14,m,White,1650,307,228,246,435,343,348,784
1_15,m,White,1660,310,230,249,440,347,352,791
1_16,m,White,1670,314,233,251,444,351,355,799
1_17,m,White,1680,317,235,254,448,355,359,806
1_18,m,White,1690,320,238,257,452,359,363,814
1_19,m,White,1700,323,241,259,456,363,367,821
1_20,m,White,1710,327,243,262,461,367,370,829
1_21,m,White,1720,330,246,265,465,371,374,837
1_22,m,White,1730,333,249,267,469,375,378,844
1_23,m,White,1740,336,251,270,473,379,381,852
1_24,m,White,1750,339,254,273,477,383,385,859
1_25,m,White,1760,343,257,276,482,386,389,867
1_26,m,White,1770,346,259,278,486,390,393,874
1_27,m,White,1780,349,262,281,490,394,396,882
1_28,m,White,1790,352,265,284,494,398,400,889
1_29,m,White,1800,356,267,286,498,402,404,897
1_30,m,White,1810,359,270,289,503,406,408,905
1_31,m,White,1820,362,272,292,507,410,411,912
1_32,m,White,1830,365,275,294,511,414,415,920
1_33,m,White,1840,369,278,297,515,418,419,927
1_34,m,White,1850,372,280,300,519,422,422,935
1_35,m,White,1860,375,283,303,524,426,426,942
1_36,m,White,1870,378,286,305,528,430,430,950
1_37,m,White,1880,382,288,308,532,434,434,957
1_38,m,White,1890,385,291,311,536,438,437,965
1_39,m,White,1900,388,294,313,540,442,441,973
1_40,m,White,1910,391,296,316,545,446,445,980
1_41,m,White,1920,395,299,319,549,450,449,988
1_42,m,White,1930,398,302,321,553,454,452,995
1_43,m,White,1940,401,304,324,557,458,456,1003
1_44,m,White,1950,404,307,327,561,462,460,1010
1_45,m,White,1960,408,309,330,566,466,463,1018
1_46,m,White,1970,411,312,332,570,470,467,1026
1_47,m,White,1980,414,315,335,574,474,471,1033
2_1,m,Black,1520,276,206,223,387,301,303,704
2_2,m,Black,1530,279,209,226,391,306,308,713
2_3,m,Black,1540,282,212,229,396,310,312,721
2_4,m,Black,1550,285,215,232,401,315,317,730
2_5,m,Black,1560,288,218,235,406,320,321,739
2_6,m,Black,1570,291,221,238,410,324,326,747
2_7,m,Black,1580,294,224,242,415,329,330,756
2_8,m,Black,1590,297,226,245,420,333,335,765
2_9,m,Black,1600,300,229,248,425,338,339,774
2_10,m,Black,1610,303,232,251,430,342,344,782
2_11,m,Black,1620,306,235,254,434,347,349,791
2_12,m,Black,1630,310,238,257,439,352,353,800
2_13,m,Black,1640,313,241,260,444,356,358,808
2_14,m,Black,1650,316,244,263,449,361,362,817
2_15,m,Black,1660,319,247,266,453,365,367,826
2_16,m,Black,1670,322,250,269,458,370,377,834
2_17,m,Black,1680,325,253,272,463,374,376,843
2_18,m,Black,1690,328,256,275,468,379,381,852
2_19,m,Black,1700,331,259,278,472,383,385,861
2_20,m,Black,1710,334,262,281,477,388,390,869
2_21,m,Black,1720,337,264,284,482,393,394,878
2_22,m,Black,1730,340,267,287,487,397,399,887
2_23,m,Black,1740,343,270,291,491,402,403,895
2_24,m,Black,1750,346,273,294,496,406,408,904
2_25,m,Black,1760,349,276,297,501,411,413,913
2_26,m,Black,1770,352,279,300,506,415,417,921
2_27,m,Black,1780,356,282,303,510,420,422,930
2_28,m,Black,1790,359,285,306,515,425,426,939
2_29,m,Black,1800,362,288,309,520,429,431,947
2_30,m,Black,1810,365,291,312,525,434,435,956
2_31,m,Black,1820,368,294,315,529,438,440,965
2_32,m,Black,1830,371,297,318,534,443,445,974
2_33,m,Black,1840,374,300,321,539,447,449,982
2_34,m,Black,1850,377,302,324,544,452,454,991
2_35,m,Black,1860,380,305,327,548,456,458,1000
2_36,m,Black,1870,383,308,330,553,461,463,1008
2_37,m,Black,1880,386,311,333,558,466,467,1017
2_38,m,Black,1890,389,314,336,563,470,470,1026
2_39,m,Black,1900,392,317,340,567,475,476,1034
2_40,m,Black,1910,395,320,343,572,479,481,1043
2_41,m,Black,1920,398,323,346,577,484,486,1052
2_42,m,Black,1930,401,326,349,582,488,490,1061
2_43,m,Black,1940,405,329,352,586,493,495,1069
2_44,m,Black,1950,408,332,355,591,498,499,1078
2_45,m,Black,1960,411,335,358,596,502,604,1087
2_46,m,Black,1970,414,337,361,601,507,508,1095
2_47,m,Black,1980,417,340,364,605,511,513,1104
3_1,f,White,1400,244,179,193,348,271,274,624
3_2,f,White,1410,247,182,195,352,274,278,632
3_3,f,White,1420,250,184,197,356,277,281,639
3_4,f,White,1430,253,186,200,360,281,285,646
3_5,f,White,1440,256,188,202,364,284,288,653
3_6,f,White,1450,259,190,204,368,288,291,660
3_7,f,White,1460,262,192,207,372,291,295,668
3_8,f,White,1470,265,194,209,376,295,298,675
3_9,f,White,1480,268,196,211,380,298,302,682
3_10,f,White,1490,271,198,214,384,302,305,689
3_11,f,White,1500,274,201,216,388,305,309,696
3_12,f,White,1510,277,203,218,392,309,312,704
3_13,f,White,1520,280,205,221,396,312,315,711
3_14,f,White,1530,283,207,223,400,315,319,718
3_15,f,White,1540,286,209,225,404,319,322,725
3_16,f,White,1550,289,211,228,409,322,326,732
3_17,f,White,1560,292,213,230,413,326,329,740
3_18,f,White,1570,295,215,232,417,329,332,747
3_19,f,White,1580,298,217,235,421,333,336,754
3_20,f,White,1590,301,220,237,425,336,340,761
3_21,f,White,1600,304,222,239,429,340,343,768
3_22,f,White,1610,307,224,242,433,343,346,776
3_23,f,White,1620,310,226,244,437,346,349,783
3_24,f,White,1630,313,228,246,441,350,353,790
3_25,f,White,1640,316,230,249,445,353,356,797
3_26,f,White,1650,319,232,251,449,357,360,804
3_27,f,White,1660,322,234,253,453,360,363,812
3_28,f,White,1670,324,236,256,457,364,366,819
3_29,f,White,1680,327,239,258,461,367,370,826
3_30,f,White,1690,330,241,261,465,371,373,833
3_31,f,White,1700,333,243,263,469,374,377,840
3_32,f,White,1710,336,245,265,473,377,380,847
3_33,f,White,1720,339,247,268,477,381,384,855
3_34,f,White,1730,342,249,270,481,384,387,862
3_35,f,White,1740,345,251,272,485,388,390,869
3_36,f,White,1750,348,253,275,489,391,394,876
3_37,f,White,1760,351,255,277,494,395,397,883
3_38,f,White,1770,354,258,279,498,398,401,891
3_39,f,White,1780,357,260,282,502,402,404,898
3_40,f,White,1790,360,262,284,506,405,407,905
3_41,f,White,1800,363,264,286,510,409,411,912
3_42,f,White,1810,366,266,289,514,412,414,919
3_43,f,White,1820,369,268,291,518,415,418,927
3_44,f,White,1830,372,270,293,522,419,421,934
3_45,f,White,1840,375,272,296,526,422,425,941
